sdss_name,sdss_ra,sdss_dec,sdss_z,sdss_source_z,sdss_zwarning,z_reliable_flag,FIRST,match_tier_first,Fpeak_first,Fint_first,Rms_first,NVSS,match_tier_nvss,S1.4_nvss,e_S1.4_nvss,GLEAM,match_tier_gleam,Fpwide_gleam,e_Fpwide_gleam,Fintwide_gleam,e_Fintwide_gleam,RACS-DR1,match_tier_racs,Fpk_racs,e_Fpk_racs,Ftot_racs,e_Ftot_racs,match_tier_flag,match_tier_mark,sep_first,sep_nvss,sep_racs,sep_gleam,resolve_gleam,sdss_name,Sample,Note1,Note2,first_code,nvss_code,racs_code,gleam_code
000017.32-044502.3,0.0721885198187237,-4.75066126,3.275,PIPE,0,2,J000017.3-044501,1,1.69,1.23,0.152,,,,,,,,,,,J000017.5-044504,1,1.484,0.286,1.425,0.482,1010,1010,0.664,,4.391,,,000017.32-044502.3,cand A,,weak,U,ND,U,ND
000023.29+014501.8,0.0970583455851965,1.7505191809452114,3.097,PIPE,0,2,J000023.2+014501,1,2.36,2.02,0.084,000023+014502,3,4.9,0.4,,,,,,,J000023.1+014502,3,5.322,0.426,5.232,0.732,1110,1330,0.399,1.247,1.937,,,000023.29+014501.8,cand A,,,U,U,SE,ND
000051.56+001202.5,0.2148571737190003,0.200716278043639,3.865,VI,4,1,J000051.5+001202,1,2.74,2.64,0.103,000051+001159,1,2.4,0.5,,,,,,,,,,,,,1100,1100,0.054,4.075,,,,000051.56+001202.5,good,,,U,SE,ND,ND
000055.68-100143.6,0.2320280678851531,-10.02879349,3.264,VI,0,1,,,,,,,,,,J000056-100038,3,0.136541,0.009868,0.148011,0.0124664,,,,,,,0001,0003,,,,65.593,1.084,000055.68-100143.6,rejected B,cp dominate 4,,ND,ND,ND,Ucp
000144.88-095630.8,0.4370249441111298,-9.941896719,3.347,VI,0,1,,,,,,,,,,J000143-095638,3,0.208197,0.009625,0.192551,0.0102608,,,,,,,0001,0003,,,,20.92,0.925,000144.88-095630.8,rejected B,cp closer,,ND,ND,ND,Ucp
000154.27+094414.9,0.4761561349976091,9.737473710707182,4.859,PIPE,4,3,J000154.2+094414,1,6.83,6.85,0.12,000154+094412,1,7.9,0.5,,,,,,,J000154.2+094414,1,11.984,0.458,13.428,0.856,1110,1110,0.355,3.001,1.132,,,000154.27+094414.9,rejected A,redshift unreliable,,,,,
000200.93-033605.6,0.50388573088307,-3.6015807,3.154,VI,0,1,J000200.9-033605,1,4.56,5.24,0.162,000201-033607,1,4.7,0.4,,,,,,,J000200.8-033603,1,7.581,0.393,8.426,0.732,1110,1110,0.557,3.946,2.147,,,000200.93-033605.6,good,,,U,U,U,ND
000215.84+021744.6,0.566032109597927,2.295730775178322,3.111,PIPE,0,2,J000215.8+021744,1,3.06,3.08,0.137,000214+021751,1,3.5,0.5,,,,,,,,,,,,,1100,1100,0.354,15.125,,,,000215.84+021744.6,cand C,2 affected by radio,2 offset,U,Uoff,ND,ND
000221.12+002149.3,0.5880009309945535,0.3637040188574519,3.07,VI,0,1,J000221.1+002149,1,12.26,12.98,0.107,000221+002147,3,13.1,0.6,,,,,,,J000221.1+002149,1,12.854,0.613,14.666,1.16,1110,1310,0.268,1.944,0.323,,,000221.12+002149.3,good,,,U,U,U,ND
000221.20+274410.3,0.5883462109875381,27.73621387167951,3.098,VI,0,1,,,,,,000221+274409,3,33.5,1.1,,,,,,,J000221.0+274409,1,48.661,0.272,53.267,0.501,0110,0310,,1.562,2.097,,,000221.20+274410.3,good,,,ND,U,U,ND
